text,airline_sentiment
"@VirginAmerica What @dhepburn said.",neutral
"@VirginAmerica plus you've added commercials to the experience... tacky.",positive
"@VirginAmerica I didn't today... Must mean I need to take another trip!",neutral
"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",negative
"@VirginAmerica and it's a really big bad thing about it",negative
"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",negative
"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",positive
"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",neutral
"@virginamerica Well, I didn't…but NOW I DO! :-D",positive
"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",positive
"@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24",neutral
"@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D",positive
"@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p",positive
"@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn",positive
"@VirginAmerica Thanks!",positive
"@VirginAmerica SFO-PDX schedule is still MIA.",negative
"@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo",positive
"@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!",negative
"I ❤️ flying @VirginAmerica. ☺️👍",positive
"@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.",positive
"@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???",negative
"@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA",positive
"@VirginAmerica I love the hipster innovation. You are a feel good brand.",positive
"@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?",neutral
"@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet",negative
"@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.",negative
"@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail",negative
"@VirginAmerica do you miss me? Don't worry we'll be together very soon.",neutral
"@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS",negative
"@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix",neutral
"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",negative
"@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?",neutral
"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",negative
"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",negative
"@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews",positive
"Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP",neutral
"@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday",positive
"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",positive
